version,release_date}
0.24.2,2018-03-09T20:22:40Z
0.24.1,2017-12-23T20:42:57Z
0.24.0,2017-10-30T17:10:23Z
0.23.1,2017-07-13T19:13:24Z
0.23.0,2017-06-29T19:31:58Z
0.22.0,2017-04-21T12:50:11Z
0.21.1,2017-03-07T13:27:18Z
0.21.0,2017-02-21T17:02:47Z
0.20.5,2017-01-22T12:50:46Z
0.20.4,2017-01-07T13:02:40Z
0.20.3,2016-12-24T11:02:48Z
0.20.1,2016-12-06T18:35:08Z
0.20.0,2016-11-22T17:30:32Z
0.19.4,2016-10-07T16:01:21Z
0.19.3,2016-09-30T13:42:27Z
0.19.2,2016-09-16T22:20:57Z
0.19.1,2016-09-09T20:34:48Z
0.19.0,2016-09-04T16:03:45Z
0.18.7,2016-07-03T22:20:20Z
0.18.6,2016-06-28T16:56:12Z
0.18.4,2016-06-22T13:36:55Z
0.18.2,2016-06-17T03:37:41Z
0.18.0,2016-06-14T22:07:38Z
0.17.4,2016-05-26T18:54:14Z
0.17.3,2016-05-20T19:14:11Z
0.17.2,2016-05-19T13:04:31Z
0.17.1,2016-05-19T13:04:22Z
0.17.0,2016-05-17T17:50:48Z
0.16.0,2016-05-05T21:09:36Z
0.15.0,2016-04-02T16:27:49Z
0.14.2,2016-03-23T10:39:28Z
0.14.1,2016-03-22T10:59:45Z
0.14.0,2016-03-22T10:59:26Z
0.13.0,2016-03-07T19:11:17Z
0.12.0,2016-02-16T16:26:17Z
0.11.1,2016-01-25T16:26:28Z
0.11.0,2016-01-23T18:42:12Z
0.10.2,2016-01-13T17:26:01Z
0.10.1,2016-01-08T01:50:05Z
0.10.0,2015-12-23T18:00:51Z
0.9.1,2015-10-30T04:12:33Z
0.9.0,2015-10-16T21:25:42Z
0.8.0,2015-09-19T12:43:10Z
0.7.7,2015-09-05T03:08:04Z
0.7.6,2015-08-13T22:08:40Z
0.7.5,2015-07-30T17:42:19Z
0.7.4,2015-06-24T01:22:42Z
0.7.3,2015-06-07T16:47:53Z
0.7.2,2015-05-26T16:56:31Z
0.7.1,2015-05-01T01:23:32Z
0.7.0,2015-04-30T20:41:22Z
0.6.1,2015-03-05T00:46:40Z
0.6.0,2015-02-12T10:50:00Z
0.5.10,2015-02-12T10:15:41Z
0.5.9,2015-02-07T20:35:33Z
0.5.8,2015-01-16T20:43:21Z
0.5.7,2015-01-02T23:47:14Z
0.5.6,2014-12-31T17:49:08Z
0.5.5,2014-12-12T22:59:59Z
0.5.4,2014-12-04T19:33:28Z
0.5.3,2014-11-06T21:57:57Z
0.5.2,2014-11-04T22:20:08Z
0.5.1,2014-10-16T22:25:44Z
0.5.0,2014-09-28T07:37:47Z
